Column1,timestamp,系统负荷,日前联络线计划,新能源预测,发布时间,DATE,PERIOD
0,2021/4/1 0:00,23862.6,-3546.25,8347.51,2021/3/30,2021/4/1,0
1,2021/4/1 0:15,23830.1,-3546.25,8210.44,2021/3/30,2021/4/1,1
2,2021/4/1 0:30,23933.3,-3546.25,8075.07,2021/3/30,2021/4/1,2
3,2021/4/1 0:45,23773.8,-3546.25,7946.6,2021/3/30,2021/4/1,3
4,2021/4/1 1:00,23470.6,-3546.25,7803.77,2021/3/30,2021/4/1,4
5,2021/4/1 1:15,23560.3,-3546.25,7647.58,2021/3/30,2021/4/1,5
6,2021/4/1 1:30,23446.2,-3546.25,7506.73,2021/3/30,2021/4/1,6
7,2021/4/1 1:45,23228.7,-3546.25,7356.92,2021/3/30,2021/4/1,7
8,2021/4/1 2:00,23486.9,-3546.25,7207.81,2021/3/30,2021/4/1,8
9,2021/4/1 2:15,23601.7,-3546.25,7040.1,2021/3/30,2021/4/1,9
10,2021/4/1 2:30,23256.8,-3546.25,6882.71,2021/3/30,2021/4/1,10
11,2021/4/1 2:45,23068.4,-3546.25,6730.87,2021/3/30,2021/4/1,11
12,2021/4/1 3:00,23088.8,-3546.25,6602.11,2021/3/30,2021/4/1,12
13,2021/4/1 3:15,23314.6,-3546.25,6484.78,2021/3/30,2021/4/1,13
14,2021/4/1 3:30,22996.8,-3546.25,6354.75,2021/3/30,2021/4/1,14
15,2021/4/1 3:45,22932.2,-3546.25,6237.34,2021/3/30,2021/4/1,15
16,2021/4/1 4:00,23056.7,-3546.25,6141.04,2021/3/30,2021/4/1,16
17,2021/4/1 4:15,23218.8,-3546.25,6054.78,2021/3/30,2021/4/1,17
18,2021/4/1 4:30,23283.6,-3546.25,5993.57,2021/3/30,2021/4/1,18
19,2021/4/1 4:45,23445.7,-3546.25,5915.56,2021/3/30,2021/4/1,19
20,2021/4/1 5:00,23380.9,-3546.25,5876.82,2021/3/30,2021/4/1,20
21,2021/4/1 5:15,23737.4,-3546.25,5852.74,2021/3/30,2021/4/1,21
22,2021/4/1 5:30,24094,-3546.25,5831.31,2021/3/30,2021/4/1,22
23,2021/4/1 5:45,24418.2,-3546.25,5806.87,2021/3/30,2021/4/1,23
24,2021/4/1 6:00,24806.3,-3546.25,5798.87,2021/3/30,2021/4/1,24
25,2021/4/1 6:15,25267.2,-3546.25,5798.78,2021/3/30,2021/4/1,25
26,2021/4/1 6:30,25559,-3546.25,5838.51,2021/3/30,2021/4/1,26
27,2021/4/1 6:45,25634.1,-3719.6,5907.24,2021/3/30,2021/4/1,27
28,2021/4/1 7:00,25696,-4096.47,5955.9,2021/3/30,2021/4/1,28
29,2021/4/1 7:15,25657.2,-4475.62,6019.73,2021/3/30,2021/4/1,29
30,2021/4/1 7:30,25482.7,-4678.31,6098.15,2021/3/30,2021/4/1,30
31,2021/4/1 7:45,25280.8,-4882,6227.98,2021/3/30,2021/4/1,31
32,2021/4/1 8:00,25119.5,-5085.69,6349.44,2021/3/30,2021/4/1,32
33,2021/4/1 8:15,25055.2,-5290.62,6498.63,2021/3/30,2021/4/1,33
34,2021/4/1 8:30,25035.5,-5493.31,6647.85,2021/3/30,2021/4/1,34
35,2021/4/1 8:45,24984.1,-5697,6764.11,2021/3/30,2021/4/1,35
